"File","Line","Text"
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","51","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","56","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","62","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","68","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","74","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","81","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","86","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","91","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","98","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","140","""p-4 border-b border-slate-200"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","141","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","144","""text-lg font-semibold text-slate-900"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","145","""text-xs text-slate-500"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","150","""p-2 hover:bg-slate-100 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","159","""flex-1 p-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","160","""space-y-2"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","177","""flex items-center space-x-3"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","180","""font-medium"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","185","""flex items-center space-x-2"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","206","""mt-2 ml-4 space-y-1"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","219","""flex items-center space-x-2"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","241","""mt-2 ml-2 w-2 h-2 bg-blue-500 rounded-full"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","251","""p-4 border-t border-slate-200"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","252","""space-y-2"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","253","""w-full flex items-center space-x-3 p-2 text-slate-600 hover:bg-slate-50 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","254","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","255","""text-sm"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","257","""w-full flex items-center space-x-3 p-2 text-slate-600 hover:bg-slate-50 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","258","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","259","""text-sm"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","266","""p-4 border-t border-slate-200"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","270","""w-full p-3 text-red-600 hover:bg-red-50 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","273","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","276","""space-y-3"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","278","""flex items-center space-x-3 p-2 bg-slate-50 rounded-lg"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","279","""w-8 h-8 bg-gradient-to-r from-blue-500 to-purple-600 rounded-full flex items-center justify-center"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","280","""w-4 h-4 text-white"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","282","""flex-1 min-w-0"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","283","""text-sm font-medium text-slate-900 truncate"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","286","""text-xs text-slate-500"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","291","""flex space-x-2"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","292","""flex-1 flex items-center justify-center space-x-1 p-2 text-slate-600 hover:bg-slate-100 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","293","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","294","""text-xs"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","298","""flex-1 flex items-center justify-center space-x-1 p-2 text-red-600 hover:bg-red-50 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","300","""w-4 h-4"""
"C:\Users\willi\Downloads\project\src\components\admin\AdminSidebar.tsx","301","""text-xs"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","151","""w-3 h-3 text-green-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","152","""w-3 h-3 text-red-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","153","""w-3 h-3 text-yellow-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","154","""w-3 h-3 text-blue-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","155","""w-3 h-3 text-gray-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","161","""w-3 h-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","162","""w-3 h-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","163","""w-3 h-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","164","""w-3 h-3 text-red-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","165","""w-3 h-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","166","""w-3 h-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","179","""fixed inset-0 bg-black bg-opacity-50 flex items-center justify-center z-50 p-4"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","180","""bg-white rounded-2xl shadow-2xl border border-gray-200 w-full max-w-6xl max-h-[90vh] overflow-hidden"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","183","""bg-gradient-to-r from-blue-600 to-blue-700 text-white p-6"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","184","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","185","""flex items-center space-x-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","186","""w-8 h-8"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","188","""text-2xl font-bold"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","189","""text-blue-100"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","193","""flex items-center space-x-4"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","194","""flex items-center space-x-2"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","196","""w-5 h-5 text-green-300"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","198","""w-5 h-5 text-red-300"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","200","""text-sm"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","207","""p-2 hover:bg-white/20 rounded-lg transition-colors"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","216","""flex h-[calc(90vh-120px)]"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","218","""w-80 bg-gray-50 border-r border-gray-200 p-6 overflow-y-auto"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","221","""mb-6"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","222","""text-lg font-semibold mb-4 flex items-center gap-2"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","223","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","227","""space-y-4"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","228","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","229","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","230","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","231","""font-bold text-blue-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","235","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","236","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","237","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","238","""font-bold"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","242","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","243","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","244","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","251","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","252","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","253","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","260","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","261","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","262","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","269","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","270","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","271","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","278","""bg-white p-4 rounded-lg border"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","279","""flex items-center justify-between"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","280","""text-sm text-gray-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","281","""font-bold text-green-600"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","289","""text-lg font-semibold mb-4 flex items-center gap-2"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","290","""w-5 h-5"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","294","""space-y-3"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","295","""flex items-center justify-between text-sm"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","296","""flex items-center gap-2"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","297","""w-4 h-4 text-green-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","300","""font-bold"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","303","""flex items-center justify-between text-sm"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","304","""flex items-center gap-2"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","305","""w-4 h-4 text-blue-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","308","""font-bold"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","311","""flex items-center justify-between text-sm"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","312","""flex items-center gap-2"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","313","""w-4 h-4 text-yellow-500"""
"C:\Users\willi\Downloads\project\src\components\admin\RealtimeActivityDashboard.tsx","316","""font-bold"""
